Depth(mm),Width(mm),Flange thickness(mm),Web thickness(mm),Insulation thickness(mm),Insulation conductivity(W/m*K)
127.0,76.0,7.6,4.2,148.5,0.2
127.0,76.0,7.6,4.2,14.9,0.02
127.0,76.0,7.6,4.2,45.8,0.2
127.0,76.0,7.6,4.2,4.6,0.02
152.0,89.0,7.7,4.6,147.7,0.2
152.0,89.0,7.7,4.6,14.8,0.02
152.0,89.0,7.7,4.6,45.5,0.2
152.0,89.0,7.7,4.6,4.6,0.02
178.0,102.0,7.9,4.7,146.1,0.2
178.0,102.0,7.9,4.7,14.6,0.02
178.0,102.0,7.9,4.7,45.0,0.2
178.0,102.0,7.9,4.7,4.5,0.02
203.0,102.0,9.3,5.2,134.8,0.2
203.0,102.0,9.3,5.2,13.5,0.02
203.0,102.0,9.3,5.2,41.7,0.2
203.0,102.0,9.3,5.2,4.2,0.02
203.0,133.0,7.8,5.8,146.9,0.2
203.0,133.0,7.8,5.8,14.7,0.02
203.0,133.0,7.8,5.8,45.3,0.2
203.0,133.0,7.8,5.8,4.5,0.02
203.0,133.0,9.6,6.3,132.3,0.2
203.0,133.0,9.6,6.3,13.2,0.02
203.0,133.0,9.6,6.3,41.0,0.2
203.0,133.0,9.6,6.3,4.1,0.02
254.0,102.0,6.8,5.8,155.0,0.2
254.0,102.0,6.8,5.8,15.5,0.02
254.0,102.0,6.8,5.8,47.7,0.2
254.0,102.0,6.8,5.8,4.8,0.02
254.0,102.0,8.4,6.1,142.1,0.2
254.0,102.0,8.4,6.1,14.2,0.02
254.0,102.0,8.4,6.1,43.8,0.2
254.0,102.0,8.4,6.1,4.4,0.02
254.0,102.0,10.0,6.4,129.1,0.2
254.0,102.0,10.0,6.4,12.9,0.02
254.0,102.0,10.0,6.4,40.0,0.2
254.0,102.0,10.0,6.4,4.0,0.02
254.0,146.0,8.6,6.1,140.4,0.2
254.0,146.0,8.6,6.1,14.0,0.02
254.0,146.0,8.6,6.1,43.4,0.2
254.0,146.0,8.6,6.1,4.3,0.02
254.0,146.0,10.9,6.4,121.8,0.2
254.0,146.0,10.9,6.4,12.2,0.02
254.0,146.0,10.9,6.4,37.8,0.2
254.0,146.0,10.9,6.4,3.8,0.02
254.0,146.0,12.7,7.3,107.2,0.2
254.0,146.0,12.7,7.3,10.7,0.02
254.0,146.0,12.7,7.3,33.5,0.2
254.0,146.0,12.7,7.3,3.4,0.02
305.0,102.0,6.8,5.8,155.0,0.2
305.0,102.0,6.8,5.8,15.5,0.02
305.0,102.0,6.8,5.8,47.7,0.2
305.0,102.0,6.8,5.8,4.8,0.02
305.0,102.0,8.9,6.1,138.0,0.2
305.0,102.0,8.9,6.1,13.8,0.02
305.0,102.0,8.9,6.1,42.6,0.2
